k,f1
169.000000,0.695451
170.000000,0.695451
170.000000,0.695451
170.000000,0.695451
171.000000,0.695451
171.000000,0.695451
171.000000,0.695451
172.000000,0.695451
172.000000,0.695451
172.000000,0.695451
173.000000,0.695451
173.000000,0.695451
173.000000,0.695451
174.000000,0.692333
174.000000,0.692333
174.000000,0.692333
175.000000,0.692333
175.000000,0.692333
175.000000,0.692333
176.000000,0.692333
176.000000,0.692333
176.000000,0.692333
177.000000,0.692133
177.000000,0.692133
177.000000,0.692133
178.000000,0.692133
178.000000,0.692133
178.000000,0.692133
179.000000,0.692133
179.000000,0.692133
179.000000,0.692133
180.000000,0.692133
180.000000,0.692133
180.000000,0.692133
181.000000,0.692133
181.000000,0.692133
181.000000,0.692133
182.000000,0.692133
182.000000,0.692133
182.000000,0.692133
182.000000,0.692133
183.000000,0.689206
183.000000,0.689206
183.000000,0.689206
184.000000,0.689206
184.000000,0.689206
184.000000,0.689206
185.000000,0.689206
185.000000,0.689206
185.000000,0.689206
186.000000,0.689043
186.000000,0.689043
186.000000,0.689043
187.000000,0.685909
187.000000,0.685909
187.000000,0.685909
188.000000,0.685909
188.000000,0.685909
188.000000,0.685909
189.000000,0.685909
189.000000,0.685909
189.000000,0.685909
190.000000,0.685909
190.000000,0.685909
190.000000,0.685909
191.000000,0.685909
191.000000,0.685909
191.000000,0.685909
192.000000,0.682747
192.000000,0.682747
192.000000,0.682747
193.000000,0.682747
193.000000,0.682747
193.000000,0.682747
194.000000,0.679422
194.000000,0.679422
194.000000,0.679422
195.000000,0.679422
195.000000,0.679422
