h,f1
0.406000,0.321061
0.407000,0.315832
0.408000,0.315832
0.409000,0.315832
0.410000,0.315832
0.411000,0.315832
0.412000,0.310504
0.413000,0.310504
0.414000,0.310306
0.415000,0.310306
0.416000,0.304829
0.417000,0.304829
0.418000,0.299243
0.419000,0.299243
0.420000,0.298958
0.421000,0.293207
0.422000,0.293207
0.423000,0.293207
0.424000,0.293207
0.425000,0.293207
0.426000,0.287337
0.427000,0.287337
0.428000,0.287337
0.429000,0.287337
0.430000,0.287337
0.431000,0.286950
0.432000,0.286950
0.433000,0.286950
0.434000,0.286950
0.435000,0.286950
0.436000,0.286950
0.437000,0.286950
0.438000,0.280896
0.439000,0.280455
0.440000,0.280455
0.441000,0.280455
0.442000,0.280455
0.443000,0.280455
0.444000,0.274205
0.445000,0.274205
0.446000,0.274205
0.447000,0.274205
0.448000,0.274205
0.449000,0.273703
0.450000,0.273703
0.451000,0.273703
0.452000,0.273703
0.453000,0.273703
0.454000,0.273703
0.455000,0.273206
0.456000,0.273206
0.457000,0.273206
0.458000,0.273206
0.459000,0.273206
0.460000,0.272712
0.461000,0.272712
0.462000,0.272712
0.463000,0.272712
0.464000,0.272712
0.465000,0.272712
0.466000,0.272712
0.467000,0.272712
0.468000,0.272712
0.469000,0.272712
0.470000,0.272712
0.471000,0.272712
0.472000,0.272712
0.473000,0.272712
0.474000,0.272712
0.475000,0.272712
0.476000,0.272712
0.477000,0.272712
0.478000,0.272712
0.479000,0.272712
0.480000,0.272712
0.481000,0.272712
0.482000,0.272712
0.483000,0.272712
0.484000,0.272712
0.485000,0.272712
0.486000,0.272712
0.487000,0.272712
0.488000,0.272712
0.489000,0.272712
0.490000,0.272712
0.491000,0.272712
0.492000,0.272712
0.493000,0.272712
0.494000,0.272712
0.495000,0.272712
0.496000,0.272712
0.497000,0.272712
0.498000,0.272712
0.499000,0.272712
0.500000,0.272712
0.501000,0.272712
0.502000,0.272712
0.503000,0.272712
0.504000,0.272712
0.505000,0.272712
0.506000,0.272712
0.507000,0.272712
0.508000,0.272712
0.509000,0.272712
0.510000,0.266107
0.511000,0.266107
0.512000,0.266107
0.513000,0.266107
0.514000,0.266107
0.515000,0.266107
0.516000,0.266107
0.517000,0.266107
0.518000,0.266107
0.519000,0.266107
0.520000,0.266107
0.521000,0.266107
0.522000,0.266107
